Name,Price,Size
คอนโดแอชตันอโศก,40000,35 
โครงการBeatniqSukhumvit,68000,58 
โครงการKhunByYoo,60000,48.83 
โครงการหมู่บ้านทรายทองติวานนท์ซอย,10000,
ทาวเฮาส์ซอยจรัญฯ,16000,
CondoRegentHomeSukhumvit,9500,28 
ลุมพินีคอนโดทาวน์รามอินทรา-นวมินทร์กม,7000,
โฮมออฟฟิศ3ชั้นNue,55000,220 
คอนโดWhizdomatthe,31000,35
​คอนโดมุมวิวสวย,6500,29.24 
THELINEAsok-Ratchadaเดอะไลน์อโศก-รัชดา,27500,35
โคลเวอร์ลาดพร้าวซอยลาดพร้าว,10000,29 
รับสัตว์เลี้ยงขนาดเล็กทั้งหมาทั้งแมวเลี้ยงระบบเปิดModernhomeplaceอ่อนนุช,24000,112.19 
ไอคอนโดสุขุมวิท,9000,29.96 
𝐀𝐬𝐩𝐢𝐫𝐞𝐑𝐚𝐦𝐚𝟒แอสปายพระราม,12000,28 
𝐀𝐭𝐦𝐨𝐳𝐏𝐨𝐫𝐭𝐫𝐚𝐢𝐭ศรีสมาน,15000,33 
𝐂𝐘𝐁𝐈𝐐𝐑𝐀𝐓𝐂𝐇𝐀𝐃𝐀𝟑𝟐,15000,
𝐂𝐘𝐁𝐈𝐐𝐑𝐀𝐓𝐂𝐇𝐀𝐃𝐀𝟑𝟐,15000,39 
𝐈𝐃𝐄𝐎𝐌𝐨𝐛𝐢𝐒𝐮𝐤𝐡𝐮𝐦𝐯𝐢𝐭𝟖𝟏,16000,22 
𝐋𝐢𝐟𝐞𝐨𝐧𝐞𝐰𝐢𝐫𝐞𝐥𝐞𝐬𝐬NearBTSPhloenChit,18000,
IdeomobiRangnam,18000,
Kaveseedkasetเคฟซี้ดเกษตร,12000,
lettedwellSukhumvit,18000,
LifeLadpraoValley,24000,
LifeRama,28000,
Muniqสุขุมวิท,100000,
RhythmSukhumvit,25000,
TheBaseRama,2190000,
TheEmporioPlaceDuplex,55000,
TheReserveatKasemsant,54000,
ริชปาร์ค@ทริปเปิ้ลสเตชั่น,16000,
ลุมพินีพาร์คพหล,13000,
𝐑𝐞𝐠𝐞𝐧𝐭𝐇𝐨𝐦𝐞𝟐𝟐𝐒𝐮𝐤𝐡𝐮𝐦𝐯𝐢𝐭𝟖𝟓𝐁𝐓𝐒อ่อนนุช,8000,31 
𝐓𝐇𝐄𝐄𝐒𝐒𝐄𝐒𝐮𝐤𝐡𝐮𝐦𝐯𝐢𝐭𝟑𝟔BTSThongLor,55000,
𝐓𝐑𝐄𝐄𝐂𝐨𝐧𝐝𝐨𝐄𝐤𝐤𝐚𝐦𝐚𝐢𝐒𝐮𝐤𝐡𝐮𝐦𝐯𝐢𝐭𝟒𝟐𝐁𝐓𝐒𝐄𝐤𝐤𝐚𝐦𝐚𝐢,16000,
𝐓𝐡𝐞𝐏𝐫𝐢𝐯𝐚𝐜𝐲𝐒𝟏𝟎𝟏เดอะไพรเวซี่เอส,13000,27 
𝐓𝐡𝐞𝐚𝐝𝐝𝐫𝐞𝐬𝐬𝐬𝐢𝐚𝐦𝐫𝐚𝐭𝐜𝐡𝐚𝐭𝐡𝐞𝐰𝐢,70000,
คอนโดพาร์คแลนด์รัชดา-ท่าพระใกล้BTSตลาดพลู,1950000,32 
UNKNOWN NAME,22000,
𝗕𝗹𝗼𝘀𝘀𝗼𝗺𝗖𝗼𝗻𝗱𝗼@𝗦𝗮𝘁𝗵𝗼𝗿𝗻-𝗖𝗵𝗮𝗿𝗼𝗲𝗻𝗿𝗮𝘁ใกล้BTSสุรศักดิ์,6050000,
BLOCS,18000,40 
BrownRatchada,10000,24 
Khunbyyoo,260000,139.25 
LifeAsokeHype,24000,33 
LifeAsokeRama,36000,58 
LifeAsoke-Rama,19000,28 
Lumpiniplacerama,12000,37 
MetroLuxeRatchada,13000,28.46 
MoriHaus,17500,36 
NoblerevloveRatchada,15000,26 
NUSASIRIGRANDCONDO,90000,
NUSASIRIGRANDCONDO,90000,155 
OkaHausSukhumvit,20000,35.35 
RhythmAsoke,15500,27.5 
TheBloomSukhumvit,14000,34.10 
TheEsseatSinghaComplex,28000,35 
Thelineasokeratchada,20000,33 
TheLineAsokeRatchada,20000,36 
TheLineAsoke-Ratchada,18000,29 
Via,40000,46 
WhizdomAvenueRatchada-Ladprao,40000,57 
𝗥𝗵𝘆𝘁𝗵𝗺𝗦𝘂𝗸𝗵𝘂𝗺𝘃𝗶𝘁𝟱𝟬BTSOnnut,1000,
𝗧𝗿𝗲𝗲𝗖𝗼𝗻𝗱𝗼𝗘𝗸𝗸𝗮𝗺𝗮𝗶𝗦𝘂𝗸𝗵𝘂𝗺𝘃𝗶𝘁𝟰𝟮BTSEkkamaiCode,16000,
,,
,,
,,
