Name,Price,Size
BTSBangNa,15000,
BTSChongNonsi,38000,
BTSChongNonsi,38000,65 
BTSEkkamai,85000,
BTSKasetsartUniversity,12000,
BTSKasetsartUniversity,12000,26 
BTSOnNut,14500,
BTSPhraKhanong,32000,
BTSPhraKhanong,32000,50 
BTSPhromPhong,18000,
BTSพหลโยธิน,26000,
CentralBangna,8500,
CentricHuaiKhwangStationเซ็นทริคห้วยขวางสเตชั่น,17000,31.32 
CeroccoBangna,12000,29.8 
CeroccoBangna,12000,
ChapterCharoenNakhon-Riverside,17000,25.7 
ChapterOneAllRamintraMRTLatPlaKhao,11000,25 
CircleCondominiumNearMRTPhetchaburiHaveShuttleBus,26000,47.59 
CitiSmartSukhumvit,70000,120 
CondoBaanSukhumvit,18000,
CondoBaanสุขุมวิท,18000,
CondoCooperSiamคอนโดคูเปอร์สยาม,36000,51.5
NichePrideThonglor-PhetchaburiNearMRTPhetchaburiStation-,15000,32 
CondoLifeLadprao,15000,28.08 
CondoNeartoBTSChidlom,68000,
CondoRamkhamhaeng9,10000,29 
condoSukhumvit109ใกล้BTS,8000,30 
condoSukhumvit109ใกล้BTSแบริ่ง,8000,30 
CondoSuksawat64,8000,
CondoTheFINEBangkokthonglor-ekkamai,50000,
CondoTHEORIGINRam209,9000,23 
condoลาดพร้าว27ใกล้MRTลาดพร้าว,9000,35 
condodeeLine,9500,24.34 
UNKNOWN NAME,15000,35 
CondoletteDwellSukhumvit,23000,
CondoletteDwellSukhumvit,23000,42 
UNKNOWN NAME,50000,
CondominiumWutthakat,8000,
CondominiumWutthakat,8000,27.4 
UNKNOWN NAME,12000,28 
DCondoRamkhamhang,10000,30 
dBURAPranNokดีบุราพรานนก,13000,38 
dBURAPranNokดีบุราพรานนก,9500,30 
D-buraพรานนกSansiriใกล้รพศิริราชรพธนบุรี,13000,38 
DenimJatujakเดนิมจตุจักร,14000,27.9 
Destiny,79000,90 
ElioSathorn-Wutthakat,12000,32 
ElioSukhumvit,10000,32 
คอนโดIdeoMobiSukhumvitEastpointขนาด,13500,25 
RoomclosedBTSPhayathaiพญาไทคอนโดมีเนียมติดสถานีBTSพญาไท,25000,65 
THEREMARKABLESOONVIJAI,25000,55 
เมโทรสกายวุฒากาศคอนโดใหม่ล่าสุดชั้น,15000,35 
FlexiSathornCharoennakornเฟล็กซี่สาทร-เจริญนคร,11000,
FlexiSathornCharoennakornเฟล็กซี่สาทร-เจริญนคร,14000,
FlexiSathornCharoennakornเฟล็กซี่สาทร-เจริญนคร,14000,35 
UNKNOWN NAME,11000,30 
คอนโดรีเกิลสาทร-นราธิวาสค่า,18000,33 
QuattroThonglorbySansiri,70000,
TheLinePhaholyothinBตรงข้ามเซ็นทรัลลาดพร้าวเดอะไลน์พหลโยธินพาร์คตึกบีค่า,25000,41 
TheLinePhahonyothinParkภาษาไทยด้านล่างTheLinePhahonyothinPark,18000,32.5 
AshtonAsokeRama,35000,43.59 
